3.339970111846923828e-01,1.001968216896057129e+01
3.545188903808593750e-01,1.005959010124206543e+01
3.505098819732666016e-01,1.003251361846923828e+01
3.470017910003662109e-01,1.005714154243469238e+01
3.240013122558593750e-01,1.003013992309570312e+01
3.359997272491455078e-01,1.001429009437561035e+01
3.893692493438720703e-01,1.008078098297119141e+01
3.619990348815917969e-01,1.006249213218688965e+01
4.615142345428466797e-01,1.016485619544982910e+01
3.579821586608886719e-01,1.008554100990295410e+01
